City,"Population estimates, July 1, 2018,  (V2018)","Population estimates base, April 1, 2010,  (V2018)","Population, Census, April 1, 2010","Female persons, percent","Population per square mile, 2010","Land area in square miles, 2010"
"New York city, New York","8,398,748","8,174,988","8,175,133",52.30%,"27,012.50",302.64
"Des Moines city, Iowa","216,853","204,183","203,433",50.80%,"2,515.60",80.87
